https://developers.google.com/android/guides/setup?hl=ru

API					Description in build.gradle
Google+					com.google.android.gms:play-services-plus:12.0.0
Google Account Login			com.google.android.gms:play-services-auth:12.0.0
Google Actions, Base Client Library	com.google.android.gms:play-services-base:12.0.0
Google Sign In				com.google.android.gms:play-services-identity:12.0.0
Google Analytics			com.google.android.gms:play-services-analytics:12.0.0
Google Awareness			com.google.android.gms:play-services-awareness:12.0.0
Google Cast				com.google.android.gms:play-services-cast:12.0.0
Google Cloud Messaging			com.google.android.gms:play-services-gcm:12.0.0
Google Drive				com.google.android.gms:play-services-drive:12.0.0
Google Fit				com.google.android.gms:play-services-fitness:12.0.0
Google Location and 
Activity Recognition			com.google.android.gms:play-services-location:12.0.0
Google Maps				com.google.android.gms:play-services-maps:12.0.0
Google Mobile Ads			com.google.android.gms:play-services-ads:12.0.0
Google Places				com.google.android.gms:play-services-places:12.0.0
Mobile Vision				com.google.android.gms:play-services-vision:12.0.0
Google Nearby				com.google.android.gms:play-services-nearby:12.0.0
Google Panorama Viewer			com.google.android.gms:play-services-panorama:12.0.0
Google Play Game services		com.google.android.gms:play-services-games:12.0.0
SafetyNet				com.google.android.gms:play-services-safetynet:12.0.0
Android Pay				com.google.android.gms:play-services-wallet:12.0.0
Android Wear				com.google.android.gms:play-services-wearable:12.0.0
